Date,Website,Disallowed Bot
2026-03-22,yahoo.com,CCBot
2026-03-22,yahoo.com,GPTBot
2026-03-22,yahoo.com,Google-Extended
2026-03-22,globo.com,AliyunSecBot
2026-03-22,globo.com,anthropic-ai
2026-03-22,globo.com,Applebot-Extended
2026-03-22,globo.com,archive.org_bot
2026-03-22,globo.com,AudigentAdBot
2026-03-22,globo.com,AwarioSmartBot
2026-03-22,globo.com,BLEXBot
2026-03-22,globo.com,Bytespider
2026-03-22,globo.com,CCBot
2026-03-22,globo.com,ChatGPT-User
2026-03-22,globo.com,ClaudeBot
2026-03-22,globo.com,Claude-SearchBot
2026-03-22,globo.com,Claude-User
2026-03-22,globo.com,Claude-Web
2026-03-22,globo.com,cohere-ai
2026-03-22,globo.com,DataForSeoBot
2026-03-22,globo.com,Diffbot
2026-03-22,globo.com,DuckAssistBot
2026-03-22,globo.com,EchoboxBot
2026-03-22,globo.com,FacebookBot
2026-03-22,globo.com,FriendlyCrawler
2026-03-22,globo.com,Google-CloudVertexBot
2026-03-22,globo.com,Google-Extended
2026-03-22,globo.com,GPTBot
2026-03-22,globo.com,ImagesiftBot
2026-03-22,globo.com,Jetslide
2026-03-22,globo.com,magpie-crawler
2026-03-22,globo.com,meta-externalagent
2026-03-22,globo.com,meta-externalfetcher
2026-03-22,globo.com,meta-webindexer/1.1
2026-03-22,globo.com,MyCentralAIScraperBot
2026-03-22,globo.com,NewsNow
2026-03-22,globo.com,news-please
2026-03-22,globo.com,OAI-SearchBot
2026-03-22,globo.com,omgili
2026-03-22,globo.com,omgilibot
2026-03-22,globo.com,peer39_crawler/1.0
2026-03-22,globo.com,PerplexityBot
2026-03-22,globo.com,Perplexity-User
2026-03-22,globo.com,Poseidon Research Crawler
2026-03-22,globo.com,quillbot.com
2026-03-22,globo.com,Quora-Bot
2026-03-22,globo.com,Scrapy
2026-03-22,globo.com,SeekrBot
2026-03-22,globo.com,SeznamHomepageCrawler
2026-03-22,globo.com,TaraGroup Intelligent Bot
2026-03-22,globo.com,Timpibot
2026-03-22,globo.com,TurnitinBot
2026-03-22,globo.com,ViennaTinyBot
2026-03-22,globo.com,YouBot
2026-03-22,nytimes.com,Amazonbot
2026-03-22,nytimes.com,magpie-crawler
2026-03-22,nytimes.com,CCBot
2026-03-22,nytimes.com,ClaudeBot
2026-03-22,nytimes.com,Claude-Web
2026-03-22,nytimes.com,anthropic-ai
2026-03-22,nytimes.com,cohere-ai
2026-03-22,nytimes.com,Bytespider
2026-03-22,nytimes.com,PetalBot
2026-03-22,nytimes.com,Scrapy
2026-03-22,nytimes.com,Applebot-Extended
2026-03-22,nytimes.com,GPTBot
2026-03-22,nytimes.com,ChatGPT-User
2026-03-22,nytimes.com,Google-Extended
2026-03-22,nytimes.com,Perplexity-User
2026-03-22,nytimes.com,Google-CloudVertexBot
2026-03-22,nytimes.com,meta-externalagent
2026-03-22,nytimes.com,OAI-SearchBot
2026-03-22,nytimes.com,YandexAdditional
2026-03-22,nytimes.com,YandexAdditionalBot
2026-03-22,nytimes.com,TurnitinBot
2026-03-22,nytimes.com,Amzn-SearchBot
2026-03-22,nytimes.com,Amzn-User
2026-03-22,nytimes.com,ProRataInc
2026-03-22,bbc.co.uk,Amazonbot
2026-03-22,bbc.co.uk,magpie-crawler
2026-03-22,bbc.co.uk,CCBot
2026-03-22,bbc.co.uk,Claude-Web
2026-03-22,bbc.co.uk,ClaudeBot
2026-03-22,bbc.co.uk,anthropic-ai
2026-03-22,bbc.co.uk,cohere-ai
2026-03-22,bbc.co.uk,Bytespider
2026-03-22,bbc.co.uk,PetalBot
2026-03-22,bbc.co.uk,Scrapy
2026-03-22,bbc.co.uk,Applebot-Extended
2026-03-22,bbc.co.uk,GPTBot
2026-03-22,bbc.co.uk,ChatGPT-User
2026-03-22,bbc.co.uk,Google-Extended
2026-03-22,bbc.co.uk,Perplexity-User
2026-03-22,bbc.co.uk,Google-CloudVertexBot
2026-03-22,bbc.co.uk,meta-externalagent
2026-03-22,bbc.co.uk,OAI-SearchBot
2026-03-22,bbc.co.uk,YandexAdditional
2026-03-22,bbc.co.uk,YandexAdditionalBot
2026-03-22,bbc.co.uk,TurnitinBot
2026-03-22,bbc.co.uk,Amzn-SearchBot
2026-03-22,bbc.co.uk,Amzn-User
2026-03-22,bbc.co.uk,ProRataInc
2026-03-22,bbc.com,GPTBot
2026-03-22,bbc.com,Google-Extended
2026-03-22,bbc.com,OAI-SearchBot
2026-03-22,bbc.com,ChatGPT-User
2026-03-22,bbc.com,AI2Bot
2026-03-22,bbc.com,Amazonbot
2026-03-22,bbc.com,Anthropic-ai
2026-03-22,bbc.com,Applebot
2026-03-22,bbc.com,Applebot-Extended
2026-03-22,bbc.com,AwarioRssBot
2026-03-22,bbc.com,AwarioSmartBot
2026-03-22,bbc.com,Bytespider
2026-03-22,bbc.com,CCBot
2026-03-22,bbc.com,Claude-SearchBot
2026-03-22,bbc.com,Claude-User
2026-03-22,bbc.com,Claude-Web
2026-03-22,bbc.com,ClaudeBot
2026-03-22,bbc.com,Cohere-ai
2026-03-22,bbc.com,cohere-training-data-crawler
2026-03-22,bbc.com,Cotoyogi
2026-03-22,bbc.com,DataForSeoBot
2026-03-22,bbc.com,Datenbank Crawler
2026-03-22,bbc.com,DeepSeek
2026-03-22,bbc.com,Devin
2026-03-22,bbc.com,Diffbot
2026-03-22,bbc.com,DuckAssistBot
2026-03-22,bbc.com,FacebookBot
2026-03-22,bbc.com,Factset_spyderbot
2026-03-22,bbc.com,Gemini-Deep-Research
2026-03-22,bbc.com,GoogleAgent-Mariner
2026-03-22,bbc.com,ICC-Crawler
2026-03-22,bbc.com,ImagesiftBot
2026-03-22,bbc.com,Kangaroo Bot
2026-03-22,bbc.com,Meta-ExternalAgent
2026-03-22,bbc.com,Meta-ExternalFetcher
2026-03-22,bbc.com,MistralAI-User
2026-03-22,bbc.com,netEstate Imprint Crawler
2026-03-22,bbc.com,NovaAct
2026-03-22,bbc.com,omgili
2026-03-22,bbc.com,Omgilibot
2026-03-22,bbc.com,Operator
2026-03-22,bbc.com,PanguBot
2026-03-22,bbc.com,Peer39_crawler/1.0
2026-03-22,bbc.com,Perplexity-User
2026-03-22,bbc.com,PerplexityBot
2026-03-22,bbc.com,PetalBot
2026-03-22,bbc.com,Qwen
2026-03-22,bbc.com,SemrushBot-OCOB
2026-03-22,bbc.com,Timpibot
2026-03-22,bbc.com,Twitterbot
2026-03-22,bbc.com,Webzio-Extended
2026-03-22,bbc.com,YouBot
2026-03-22,detik.com,GPTBot
2026-03-22,detik.com,anthropic-ai
2026-03-22,detik.com,ChatGPT-User
2026-03-22,detik.com,ClaudeBot
2026-03-22,detik.com,Claude-Web
2026-03-22,detik.com,cohere-ai
2026-03-22,detik.com,OAI-SearchBot
2026-03-22,detik.com,quillbot.com
2026-03-22,detik.com,PerplexityBot
2026-03-22,detik.com,TurnitinBot
2026-03-22,conectate.com.do,grapeshot
2026-03-22,interia.pl,YouBot
2026-03-22,cnn.com,GPTBot
2026-03-22,cnn.com,CCBot
2026-03-22,wp.pl,Amzn-SearchBot
2026-03-22,foxnews.com,anthropic-ai
2026-03-22,foxnews.com,ChatGPT-User
2026-03-22,foxnews.com,ClaudeBot
2026-03-22,foxnews.com,Claude-Web
2026-03-22,foxnews.com,cohere-ai
2026-03-22,foxnews.com,GPTBot
2026-03-22,foxnews.com,OAI-SearchBot
2026-03-22,foxnews.com,quillbot.com
2026-03-22,foxnews.com,PerplexityBot
2026-03-22,foxnews.com,TurnitinBot
2026-03-22,baomoi.com,YouBot
2026-03-22,msn.com,Google-Extended
2026-03-22,msn.com,CCBot
2026-03-22,msn.com,Flamingo_SearchEngine
2026-03-22,msn.com,ClaudeBot
2026-03-22,msn.com,anthropic-ai
2026-03-22,msn.com,Claude-Web
2026-03-22,msn.com,Applebot-Extended
2026-03-22,msn.com,magpie-crawler
2026-03-22,msn.com,ia_archiver
2026-03-22,msn.com,omgili
2026-03-22,msn.com,omgilibot
2026-03-22,msn.com,Baiduspider
2026-03-22,msn.com,AhrefsBot
2026-03-22,msn.com,DataForSeoBot
2026-03-22,msn.com,Yeti
2026-03-22,msn.com,SemrushBot
2026-03-22,msn.com,sentibot
2026-03-22,msn.com,MJ12bot
2026-03-22,msn.com,Bytespider
2026-03-22,msn.com,SirdataBot
2026-03-22,msn.com,LCC
2026-03-22,msn.com,TurnitinBot
2026-03-22,msn.com,BLEXBot
2026-03-22,msn.com,dotbot
2026-03-22,msn.com,ImagesiftBot
2026-03-22,msn.com,AI2Bot
2026-03-22,msn.com,Ai2Bot-Dolma
2026-03-22,msn.com,aiHitBot
2026-03-22,msn.com,Amazonbot
2026-03-22,msn.com,Andibot
2026-03-22,msn.com,Awario
2026-03-22,msn.com,bedrockbot
2026-03-22,msn.com,Brightbot 1.0
2026-03-22,msn.com,Claude-SearchBot
2026-03-22,msn.com,Claude-User
2026-03-22,msn.com,cohere-ai
2026-03-22,msn.com,cohere-training-data-crawler
2026-03-22,msn.com,Cotoyogi
2026-03-22,msn.com,Crawlspace
2026-03-22,msn.com,Datenbank Crawler
2026-03-22,msn.com,Devin
2026-03-22,msn.com,Diffbot
2026-03-22,msn.com,DuckAssistBot
2026-03-22,msn.com,Echobot Bot
2026-03-22,msn.com,EchoboxBot
2026-03-22,msn.com,FacebookBot
2026-03-22,msn.com,Factset_spyderbot
2026-03-22,msn.com,FirecrawlAgent
2026-03-22,msn.com,FriendlyCrawler
2026-03-22,msn.com,Gemini-Deep-Research
2026-03-22,msn.com,Google-CloudVertexBot
2026-03-22,msn.com,GoogleAgent-Mariner
2026-03-22,msn.com,GoogleOther
2026-03-22,msn.com,GoogleOther-Image
2026-03-22,msn.com,GoogleOther-Video
2026-03-22,msn.com,iaskspider/2.0
2026-03-22,msn.com,ICC-Crawler
2026-03-22,msn.com,img2dataset
2026-03-22,msn.com,ISSCyberRiskCrawler
2026-03-22,msn.com,Kangaroo Bot
2026-03-22,msn.com,meta-externalagent
2026-03-22,msn.com,Meta-ExternalAgent
2026-03-22,msn.com,meta-externalfetcher
2026-03-22,msn.com,Meta-ExternalFetcher
2026-03-22,msn.com,MistralAI-User
2026-03-22,msn.com,MistralAI-User/1.0
2026-03-22,msn.com,MyCentralAIScraperBot
2026-03-22,msn.com,netEstate Imprint Crawler
2026-03-22,msn.com,NovaAct
2026-03-22,msn.com,Operator
2026-03-22,msn.com,PanguBot
2026-03-22,msn.com,Panscient
2026-03-22,msn.com,panscient.com
2026-03-22,msn.com,Perplexity-User
2026-03-22,msn.com,PerplexityBot
2026-03-22,msn.com,PetalBot
2026-03-22,msn.com,PhindBot
2026-03-22,msn.com,Poseidon Research Crawler
2026-03-22,msn.com,QualifiedBot
2026-03-22,msn.com,QuillBot
2026-03-22,msn.com,quillbot.com
2026-03-22,msn.com,SBIntuitionsBot
2026-03-22,msn.com,Scrapy
2026-03-22,msn.com,SemrushBot-OCOB
2026-03-22,msn.com,SemrushBot-SWA
2026-03-22,msn.com,Sidetrade indexer bot
2026-03-22,msn.com,SummalyBot
2026-03-22,msn.com,Thinkbot
2026-03-22,msn.com,TikTokSpider
2026-03-22,msn.com,Timpibot
2026-03-22,msn.com,VelenPublicWebCrawler
2026-03-22,msn.com,WARDBot
2026-03-22,msn.com,Webzio-Extended
2026-03-22,msn.com,wpbot
2026-03-22,msn.com,YandexAdditional
2026-03-22,msn.com,YandexAdditionalBot
2026-03-22,msn.com,YouBot
2026-03-22,bild.de,5emeRue
2026-03-22,bild.de,5erue
2026-03-22,bild.de,adequat
2026-03-22,bild.de,adequat-systems
2026-03-22,bild.de,AgentCore-Browser
2026-03-22,bild.de,Ai2Bot-Dolma
2026-03-22,bild.de,AI2Bot/v2.0
2026-03-22,bild.de,Aihitdata.com
2026-03-22,bild.de,Amazonbot
2026-03-22,bild.de,AmazonBot
2026-03-22,bild.de,AmiSoftware
2026-03-22,bild.de,amazon-kendra
2026-03-22,bild.de,anthropic-ai
2026-03-22,bild.de,Applebot-Extended
2026-03-22,bild.de,Argus
2026-03-22,bild.de,Asknread
2026-03-22,bild.de,asknread.com
2026-03-22,bild.de,Augure
2026-03-22,bild.de,auramundi
2026-03-22,bild.de,bedrockbot/3.0
